26174762	Combining intracellular antibodies to restore function of mutated p53 in cancer.	Chan G, Jordaan G, Nishimura RN, Weisbart RH.	TP53 is a tumor suppressor gene that is mutated in 50% of cancers, and its function is tightly regulated by the E3 ligase, Mdm2. Both p53 and Mdm2 are localized in the cell nucleus, a site that is impervious to therapeutic regulation by most antibodies. We identified a cell-penetrating lupus monoclonal anti-DNA antibody, mAb 3E10, that targets the nucleus, and we engineered mAb 3E10 to function as an intranuclear transport system to deliver therapeutic antibodies into the nucleus as bispecific single chain Fv (scFv) fragments. Bispecific scFvs composed of 3E10 include PAb421 (3E10-PAb421) that binds p53 and restores the function of mutated p53, and 3G5 (3E10-3G5) that binds Mdm2 and prevents destruction of p53 by Mdm2. We documented the therapeutic efficacy of these bispecific scFvs separately in previous studies. In this study, we show that combination therapy with 3E10-PAb421 and 3E10-3G5 augments growth inhibition of cells with p53 mutations compared to the effect of either antibody alone. By contrast, no enhanced response was observed in cells with wild-type p53 or in cells homozygous null for p53.
26577528	PDL1 Regulation by p53 via miR-34.	Cortez MA, Ivan C, Valdecanas D, Wang X, Peltier HJ, Ye Y, Araujo L, Carbone DP, Shilo K, Giri DK, Kelnar K, Martin D, Komaki R, Gomez DR, Krishnan S, Calin GA, Bader AG, Welsh JW.	Although clinical studies have shown promise for targeting PD1/PDL1 signaling in non-small cell lung cancer (NSCLC), the regulation of PDL1 expression is poorly understood. Here, we show that PDL1 is regulated by p53 via miR-34.p53 wild-type and p53-deficient cell lines (p53(-/-) and p53(+/+) HCT116, p53-inducible H1299, and p53-knockdown H460) were used to determine if p53 regulates PDL1 via miR-34. PDL1 and miR-34a expression were analyzed in samples from patients with NSCLC and mutated p53 vs wild-type p53 tumors from The Cancer Genome Atlas for Lung Adenocarcinoma (TCGA LUAD). We confirmed that PDL1 is a direct target of miR-34 with western blotting and luciferase assays and used a p53(R172HΔ)g/+K-ras(LA1/+) syngeneic mouse model (n = 12) to deliver miR-34a-loaded liposomes (MRX34) plus radiotherapy (XRT) and assessed PDL1 expression and tumor-infiltrating lymphocytes (TILs). A two-sided t test was applied to compare the mean between different treatments.We found that p53 regulates PDL1 via miR-34, which directly binds to the PDL1 3' untranslated region in models of NSCLC (fold-change luciferase activity to control group, mean for miR-34a = 0.50, SD = 0.2, P < .001; mean for miR-34b = 0.52, SD = 0.2, P = .006; and mean for miR-34c = 0.59, SD = 0.14, and P = .006). Therapeutic delivery of MRX34, currently the subject of a phase I clinical trial, promoted TILs (mean of CD8 expression percentage of control group = 22.5%, SD = 1.9%; mean of CD8 expression percentage of MRX34 = 30.1%, SD = 3.7%, P = .016, n = 4) and reduced CD8(+)PD1(+) cells in vivo (mean of CD8/PD1 expression percentage of control group = 40.2%, SD = 6.2%; mean of CD8/PD1 expression percentage of MRX34 = 20.3%, SD = 5.1%, P = .001, n = 4). Further, MRX34 plus XRT increased CD8(+) cell numbers more than either therapy alone (mean of CD8 expression percentage of MRX34 plus XRT to control group = 44.2%, SD = 8.7%, P = .004, n = 4). Finally, miR-34a delivery reduced the numbers of radiation-induced macrophages (mean of F4-80 expression percentage of control group = 52.4%, SD = 1.7%; mean of F4-80 expression percentage of MRX34 = 40.1%, SD = 3.5%, P = .008, n = 4) and T-regulatory cells.We identified a novel mechanism by which tumor immune evasion is regulated by p53/miR-34/PDL1 axis. Our results suggest that delivery of miRNAs with standard therapies, such as XRT, may represent a novel therapeutic approach for lung cancer.
25752701	p14(ARF) Prevents Proliferation of Aneuploid Cells by Inducing p53-Dependent Apoptosis.	Veneziano L, Barra V, Lentini L, Spatafora S, Di Leonardo A.	Weakening the Spindle Assembly Checkpoint by reduced expression of its components induces chromosome instability and aneuploidy that are hallmarks of cancer cells. The tumor suppressor p14(ARF) is overexpressed in response to oncogenic stimuli to stabilize p53 halting cell progression. Previously, we found that lack or reduced expression of p14(ARF) is involved in the maintenance of aneuploid cells in primary human cells, suggesting that it could be part of a pathway controlling their proliferation. To investigate this aspect further, p14(ARF) was ectopically expressed in HCT116 cells after depletion of the Spindle Assembly Checkpoint MAD2 protein that was used as a trigger for aneuploidy. p14(ARF) Re-expression reduced the number of aneuploid cells in MAD2 post-transcriptionally silenced cells. Also aberrant mitoses, frequently displayed in MAD2-depleted cells, were decreased when p14(ARF) was expressed at the same time. In addition, p14(ARF) ectopic expression in MAD2-depleted cells induced apoptosis associated with increased p53 protein levels. Conversely, p14(ARF) ectopic expression did not induce apoptosis in HCT116 p53KO cells. Collectively, our results suggest that the tumor suppressor p14(ARF) may have an important role in counteracting proliferation of aneuploid cells by activating p53-dependent apoptosis. J. Cell. Physiol. 231: 336-344, 2016. © 2015 Wiley Periodicals, Inc.
26291961	Intelligent DNA machine for the ultrasensitive colorimetric detection of nucleic acids.	Xu J, Qian J, Li H, Wu ZS, Shen W, Jia L.	As DNA is employed to serve as a smart building block, an increasing interest has been devoted to the development of different DNA-based machines for the specific purpose, for example, the exploration of inter- or intramolecular interaction. In the current contribution, we developed an intelligent DNA machine and its operation can be designed to execute the ultrasensitive colorimetric detection of target nucleic acids. The DNA machine consists of a hairpin probe (HP) and an assistant template (AT). Using p53 gene as the target model to trigger the molecular machine operation, cyclic nucleic acid strand displacement polymerization (CNDP) was specifically induced, leading to the DNAzyme mediated catalytic reaction for signal readout. Specifically, with the help of polymerase and nickase, one target molecule was able to drive DNA nano-mechanical devices one-by-one through the hybridization/polymerization displacement cycles, and every initiated machine continued to operate, causing the dramatic accumulation of G-quadruplex-contained products. The G-quadruplex structure after binding to hemin could act as a horseradish peroxidase (HRP)-mimicking DNAzyme and catalyzed the oxidation of 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) (ABTS) by H2O2. As a result, an enhanced color change could be detected because of the generation of oxidation product ABTS•(+). In this way, the DNA machine has no any signal loss and enables the quantitative measurement of p53 DNA with a detection limit of 10fM, indicating great promise for unique application in biomedical research and early clinical diagnosis.
26464464	Reactivation of p53 by a Cytoskeletal Sensor to Control the Balance Between DNA Damage and Tumor Dissemination.	Herraiz C, Calvo F, Pandya P, Cantelli G, Rodriguez-Hernandez I, Orgaz JL, Kang N, Chu T, Sahai E, Sanz-Moreno V.	BACKGROUND: Abnormal cell migration and invasion underlie metastasis, and actomyosin contractility is a key regulator of tumor invasion. The links between cancer migratory behavior and DNA damage are poorly understood. METHODS: Using 3D collagen systems to recapitulate melanoma extracellular matrix, we analyzed the relationship between the actomyosin cytoskeleton of migrating cells and DNA damage. We used multiple melanoma cell lines and microarray analysis to study changes in gene expression and in vivo intravital imaging (n = 7 mice per condition) to understand how DNA damage impacts invasive behavior. We used Protein Tissue Microarrays (n = 164 melanomas) and patient databases (n = 354 melanoma samples) to investigate the associations between markers of DNA damage and actomyosin cytoskeletal features. Data were analyzed with Student's and multiple t tests, Mann-Whitney's test, one-way analysis of variance, and Pearson correlation. All statistical tests were two-sided. RESULTS: Melanoma cells with low levels of Rho-ROCK-driven actomyosin are subjected to oxidative stress-dependent DNA damage and ATM-mediated p53 protein stabilization. This results in a specific transcriptional signature enriched in DNA damage/oxidative stress responsive genes, including Tumor Protein p53 Inducible Protein 3 (TP53I3 or PIG3). PIG3, which functions in DNA damage repair, uses an unexpected catalytic mechanism to suppress Rho-ROCK activity and impair tumor invasion in vivo. This regulation was suppressed by antioxidants. Furthermore, PIG3 levels decreased while ROCK1/2 levels increased in human metastatic melanomas (ROCK1 vs PIG3; r = -0.2261, P < .0001; ROCK2 vs PIG3: r = -0.1381, P = .0093). CONCLUSIONS: The results suggest using Rho-kinase inhibitors to reactivate the p53-PIG3 axis as a novel therapeutic strategy; we suggest that the use of antioxidants in melanoma should be very carefully evaluated.
26430901	Calcitonin Gene-Related Peptide Improves Hypoxia-Induced Inflammation and Apoptosis via Nitric Oxide in H9c2 Cardiomyoblast Cells.	Duan L, Lei H, Zhang Y, Wan B, Chang J, Feng Q, Huang W.	The aim of this work was to investigate whether calcitonin gene-related peptide (CGRP) plays a protective role in cardiomyocytes against hypoxia-induced inflammation and apoptosis via an NO-mediated pathway.H9c2 cardiac cells were exposed to hypoxia for 2 h to establish a model of myocardial hypoxic-ischemic injury. The cells were pretreated with either CGRP or nitric oxide synthase (NOS) inhibitor (L-NAME) before being exposed to hypoxia for 30 min. Cell viability was analyzed using a cell counter kit 8 (CCK-8). The levels of IL-6 and TNF-α were determined by the corresponding enzyme-linked immunosorbent assay. The expression levels of several apoptosis proteins (p53, caspase-3, cytochrome C) and NOS were detected by Western blot assays. An NO kit was used to evaluate the production of NO.Pretreatment of H9c2 cardiac cells with CGRP for 30 min prior to exposure to hypoxia markedly improved cell viability (83.57 ± 3.21 vs. 62.83 ± 8.30%, p < 0.001); the same effect was observed following pretreatment with the NOS inhibitor L-NAME (89.34 ± 5.95 vs. 75.01 ± 5.61%, p < 0.01). Pretreatment with CGRP also significantly attenuated the inflammatory responses induced by hypoxia, as evidenced by decreases of the levels of both IL-6 (193.21 ± 13.54 vs. 293.38 ± 56.49%, p < 0.001) and TNF-α (207.71 ± 44.27 vs. 281.46 ± 64.88%, p < 0.001). Additionally, CGRP significantly decreased the hypoxia-induced overexpression of the apoptotic proteins (p53: 0.27 ± 0.10 vs. 0.87 ± 0.30, p < 0.001; caspase-3: 0.65 ± 0.15 vs. 0.98 ± 0.26, p < 0.001; cytochrome C: 1.51 ± 0.39 vs. 2.80 ± 0.69, p < 0.001) and enhanced the expression of both endothelial NOS (eNOS; 0.59 ± 0.24 vs. 0.37 ± 0.14, p < 0.05) and phosphorylated eNOS (0.60 ± 0.13 vs. 0.40 ± 0.07, p < 0.05). Furthermore, the application of both L-NAME and CGRP attenuated the hypoxia-induced expression of inducible NOS (iNOS; p < 0.05) and enhanced a hypoxia-mediated decrease in NO (p < 0.01). Interestingly, the expression levels of cell apoptosis (p < 0.05), iNOS and eNOS (p < 0.05) were decreased with L-NAME and CGRP cotreatment following 2 h of acute hypoxia, but the apoptotic factors (p < 0.05) were increased compared with only CGRP pretreatment.CGRP protects cardiomyocytes from hypoxia-induced inflammation and apoptosis by modulating NO production.
26463923	Sevoflurane Preconditioning Confers Neuroprotection via Anti-apoptosis Effects.	Wang H, Shi H, Yu Q, Chen J, Zhang F, Gao Y.	Neuroprotection against cerebral ischemia afforded by volatile anesthetic preconditioning (APC) has been demonstrated both in vivo and in vitro, yet the underlying mechanism is poorly understood. We previously reported that repeated sevoflurane APC reduced infarct size in rats after focal ischemia. In this study, we investigated whether inhibition of apoptotic signaling cascades contributes to sevoflurane APC-induced neuroprotection. Male Sprague-Dawley rats were exposed to ambient air or 2.4 % sevoflurane for 30 min per day for 4 consecutive days and then subjected to occlusion of the middle cerebral artery (MCAO) for 60 min at 24 h after the last sevoflurane intervention. APC with sevoflurane markedly decreased apoptotic cell death in rat brains, which was accompanied by decreased caspase-3 cleavage and cytochrome c release. The apoptotic suppression was associated with increased ratios of anti-apoptotic Bcl-2 family proteins over pro-apoptotic proteins and with decreased activation of JNK and p53 pathways. Thus, our data suggest that suppression of apoptotic cell death contributes to the neuroprotection against ischemic brain injury conferred by sevoflurane preconditioning.
26059022	Gallic acid induces apoptosis in human cervical epithelial cells containing human papillomavirus type 16 episomes.	Shi L, Lei Y, Srivastava R, Qin W, Chen JJ.	The high-risk human papillomaviruses (HPV) that infect the anogenital tract are strongly associated with the development of cervical carcinoma, which is the second most common cancer in women worldwide. Therapeutic drugs specifically targeting HPV are not available. Polyphenolic compounds have gained considerable attention because of their cytotoxic effects against a variety of cancers and certain viruses. In this study, we examined the effects of several polyphenols on cellular proliferation and death of the human cervical cancer cells and human cervical epithelial cells containing stable HPV type 16 episomes (HPVep). Our results show that three polyphenols inhibited proliferation of HeLa cells dose-dependently. Furthermore, one of the examined polyphenols, gallic acid (GA), also inhibited the proliferation of HPVep cells and exhibited significant specificity towards HPV-positive cells. The anti-proliferative effect of GA on HPVep and HeLa cells was associated with apoptosis and upregulation of p53. These results suggest that GA can be a potential candidate for the development of anti-HPV agents. J. Med. Virol. 88:127-134, 2016. © 2015 Wiley Periodicals, Inc.
26174106	S-Adenosylmethionine Affects ERK1/2 and Stat3 Pathways and Induces Apotosis in Osteosarcoma Cells.	Ilisso CP, Sapio L, Delle Cave D, Illiano M, Spina A, Cacciapuoti G, Naviglio S, Porcelli M.	Osteosarcoma is a very aggressive bone tumor. Its clinical outcome remains discouraging despite intensive surgery, radiotherapy, and chemotherapy. Thus, novel therapeutic approaches are demanded. S-Adenosylmethionine (AdoMet) is a naturally occurring molecule that is synthesized in our body by methionine adenosyltransferase isoenzymes and is also available as a nutritional supplement. AdoMet is the principal methyl donor in numerous methylation reactions and is involved in many biological functions. Interestingly, AdoMet has been shown to exert antiproliferative action in various cancer cells. However, the underlying molecular mechanisms are just starting to be studied. Here, we investigated the effects of AdoMet on the proliferation of osteosarcoma U2OS cells and the underlying mechanisms. We carried out direct cell number counting, MTT and flow cytometry-based assays, and immunoblotting experiments in response to AdoMet treatment. We found that AdoMet strongly inhibits proliferation of U2OS cells by slowing-down cell cycle progression and by inducing apoptosis. We also report that AdoMet consistently causes an increase of p53 and p21 cell-cycle inhibitor, a decrease of cyclin A and cyclin E protein levels, and a marked increase of pro-apoptotic Bax/Bcl-2 ratio, with caspase-3 activation and PARP cleavage. Moreover, the AdoMet-induced antiproliferative effects were dynamically accompanied by profound changes in ERK1/2 and STAT3 protein and phosphorylation levels. Altogether, our data enforce the evidence of AdoMet acting as a biomolecule with antiproliferative action in osteosarcoma cells, capable of down-regulating ERK1/2 and STAT3 pathways leading to cell cycle inhibition and apoptosis, and provide a rationale for the possible use of AdoMet in osteosarcoma therapy. J. Cell. Physiol. 231: 428-435, 2016. © 2015 Wiley Periodicals, Inc.
26497429	Synergistic therapeutic effects of Schiff's base cross-linked injectable hydrogels for local co-delivery of metformin and 5-fluorouracil in a mouse colon carcinoma model.	Wu X, He C, Wu Y, Chen X.	In situ formed hydrogels based on Schiff base reaction were formulated for the co-delivery of metformin (ME) and 5-fluorouracil (5FU). The reactive aldehyde-functionalized four-arm polyethylene glycol (PFA) was synthesized by end-capping of 4-arm PEG with 4-formylbenzoic acid (FA) and used as a cross-linking agent. The injectable hydrogels are designed through the quick gelation induced by the formation of covalent bonds via Schiff-base reaction of PFA with 4-arm poly (ethylene glycol)-b-poly (L-lysine) (PPLL). This formulation eliminated the need for metal catalysts and complicated processes in the preparation of in situ-forming hydrogels. In vitro degradation and drug release studies demonstrated that both ME and 5FU were released through PFA/PPLL hydrogels in a controlled and pH-dependent manner. When incubated with mouse colon adenocarcinoma cells (C26), the ME/5FU-incorporated PFA/PPLL hydrogels had synergistic inhibitory effects on the cell cycle progression and cell proliferation in colon cancer cells. After a single subcutaneous injection of the hydrogel containing ME/5FU beside the tumors of BALB/c mice inoculated with C26 cells, the dual-drug-loaded hydrogels displayed superior therapeutic activity resulted from a combination of p53-mediated G1 arrest and apoptosis in C26 cells. Hence, the Schiff's base cross-linked hydrogels containing ME and 5FU may have potential therapeutic applications in the treatments of colon cancer.
